id,name,gender,child,father,--> new data (not [yet] in wikidata) -->,age,fathers_age,fathers_liftetime_after,references,Notes
Q70899,Adam,male,"Cain, Abel, Seth",,,930,,,Gen 5:5 (930),
Q205365,Cain,male,Enoch,Adam,,,,,Gen 4:1 ,
Q313421,Abel,male,,Adam,,,,,Gen 4:2,
Q107626,Seth,male,Enos,Adam,,912,130,800,"Gen 5:3, (4), 8",
Q2495184,Enoch,male,Irad,Cain,,,,,Gen 4:17,
Q830183,Eve,female,"Cain, Abel, Seth",,,,,,see Adam,
Q682531,Enos,male,Kenan,Seth,,905,105,807,"Gen 5:6, (7), 10, 11",
Q3364264,Irad,male,Mehujael,Enoch,,,,,Gen 4:18,
Q844433,Kenan,male,Mahalalel,Enos,,910,90,815,"Gen 5:9, (10), 14",
Q10329365,Mehujael,male,Methusael,Irad,,,,,Gen 4:18,
Q10297002,Mahalalel,male,Jared,Kenan,,895,70,840,"Gen 5:12, (13), 17",
Q10329289,Methusael,male,Lamech,Mehujael,,,,,Gen 4:18,
Q927410,Jared,male,Enoch,Mahalalel,,962,65,830,"Gen 5:15, (16), 20",
Q155852,Lamech,male,"Tubal-cain, Naamah, Jabal, Jubal",Methusael,,,,,Gen 4:18,
Q213027,Enoch,male,Methuselah,Jared,,365,162,800,"Gen 5:18, (19), 23",
Q1356181,Tubal-cain,male,,Lamech,,,,,Gen 4:22,
Q1542154,Naamah,female,,Lamech,,,,,Gen 4:22,
Q1676803,Jabal,male,,Lamech,,,,,Gen 4:20,
Q1432204,Jubal,male,,Lamech,,,,,Gen 4:21,
Q156290,Methuselah,male,Lamech,Enoch,,969,65,300,"Gen 5:21, (22), 27",
Q203082,Zillah,female,"Tubal-cain, Naamah",,,,,,Gen 4:19,
Q1809123,Ada,female,"Jabal, Jubal",,,,,,Gen 4:20,
Q10921342,Lamech,male,Noah,Methuselah,,777,187,782,"Gen 5:25, (26), 31",
Q81422,Noah,male,"Shem, Ham, Japheth",Lamech,,950,182,595,"Gen 5:28-29, (30); 9:29",lived after flood: 350 (Gen 9:28)
Q200902,Shem,male,"Biblical Elam, Ashur, Arpachshad, Lud, Aram",Noah,,[600],500,,Gen 5:32,
Q229702,Ham,male,"Cush, Canaan, Mizraim, Phut",Noah,,,500,,Gen 5:32,
Q200637,Japheth,male,"Gomer, Magog, Madai, Javan, Tubal, Meshech, Tiras",Noah,,,500,,Gen 5:32,
Q1147704,Biblical Elam,male,,Shem,,,,,,
Q2426606,Ashur,male,,Shem,,,,,,
Q457520,Arpachshad,male,Salah,Shem,,,100,500,"Gen 11:10, (11)",born 2y after flood
Q1815870,Lud,male,,Shem,,,,,,
Q625667,Aram,male,"Uz, Hul, Gether",Shem,,,,,,
Q1138595,Cush,male,,Ham,,,,,,
Q204797,Canaan,male,,Ham,,,,,,
Q1369215,Mizraim,male,,Ham,,,,,,
Q946939,Phut,male,,Ham,,,,,,
Q1148172,Gomer,male,"Riphath, Togarmah, Ashkenaz",Japheth,,,,,,
Q1964706,Magog,male,,Japheth,,,,,,
Q1790796,Madai,,,Japheth,,,,,,
Q1684266,Javan,male,"Elishah, Tarshish, Kittim, Dodanim",Japheth,,,,,,
Q1481766,Tubal,male,,Japheth,,,,,,
Q30973,Meshech,,,Japheth,,,,,,
Q1481751,Tiras,,,Japheth,,,,,,
Q1827950,Salah,male,Eber,Arpachshad,,,,,,
Q2558734,Uz,male,,Aram,,,,,,
Q2898616,Hul,male,,Aram,,,,,,
Q2910407,Gether,male,,Aram,,,,,,
Q2918052,Riphath,male,,Gomer,,,,,,
Q1068499,Togarmah,male,,Gomer,,,,,,
Q722770,Ashkenaz,,,Gomer,,,,,,
Q1330627,Elishah,,,Javan,,,,,,
Q44826,Tarshish,,,,,,,,,
Q1743921,Kittim,,,Javan,,,,,,
Q2918046,Dodanim,,,Javan,,,,,,
Q502282,Eber,male,"Peleg, Joktan",Salah,,,,,,
Q1648259,Peleg,male,Reu,Eber,,,,,,
Q1553059,Joktan,male,"Almodad, Sheleph, Hazarmaveth, Hadoram, Uzal, Abimael",Eber,,,,,,
Q2040793,Reu,male,Serug,Peleg,,,,,,
Q2905798,Almodad,male,,,,,,,,
Q7493584,Sheleph,,,,,,,,,
Q2905463,Hazarmaveth,male,,,,,,,,
Q5638029,Hadoram,,,,,,,,,
Q7904500,Uzal,,,,,,,,,
Q14925390,Abimael,,,,,,,,,
Q1161313,Serug,male,Nahor,Reu,,,,,,
Q18698851,Nahor,male,Terah,Serug,,,,,,
Q586541,Terah,male,"Abraham, Haran, Nahor",Nahor,,,,,,
Q9181,Abraham,male,"Ishmael, Isaac",,,,,,,
Q1199156,Haran,male,"Lot, Milcah, Iscah",Terah,,,,,,
Q6323112,Nahor,male,Bethuel,Terah,,,,,,
Q183403,Ishmael,male,"Nebaioth, Mahalath, Basemath, Dumah, Mahalath",Abraham,,,,,,
Q671872,Isaac,male,"Jacob, Esau",Abraham,,,,,,
Q40574,Lot,male,Moab,Haran,,,,,,
Q1752707,Milcah,female,Bethuel,Haran,,,,,,
Q1449132,Iscah,female,,Haran,,,,,,
Q1579827,Bethuel,male,"Laban, Rebecca",Nahor,,,,,,
Q3773487,Nebaioth,male,,Ishmael,,,,,,
Q2669401,Mahalath,female,,Ishmael,,,,,,
Q3320047,Basemath,female,,Ishmael,,,,,,
Q5313606,Dumah,male,,Ishmael,,,,,,
Q6398999,Mahalath,female,,Ishmael,,,,,,
Q214617,Hagar,female,Ishmael,,,,,,,
Q289957,Jacob,male,"Reuben, Simeon, Levi, Judah, Issachar, Zebulun, Dinah, Joseph, Benjamin, Asher, Naphtali, Gad, Dan",Isaac,,,,,,
Q220822,Esau,male,Eliphaz,Isaac,,,,,,
Q194808,Sarah,female,"Isaac, Islamic view of Isaac",,,,,,,
Q1585141,Moab,male,,Lot,,,,,,
Q840401,Laban,male,"Leah, Rachel",Bethuel,,,,,,
Q40520,Rebecca,female,"Jacob, Esau",Bethuel,,,,,,
Q625661,Reuben,male,,Jacob,,,,,,
Q1773005,Simeon,male,,Jacob,,,,,,
Q215512,Levi,male,"Gershon, Kohath, Merari, Jochebed",Jacob,,,,,,
Q282220,Judah,male,Perez,Jacob,,,,,,
Q651256,Issachar,male,,Jacob,,,,,,
Q614575,Zebulun,male,,Jacob,,,,,,
Q122035,Dinah,female,,Jacob,,,,,,
Q145746,Joseph,male,"Manasseh, Ephraim",Jacob,,,,,,
Q460763,Benjamin,male,,Jacob,,,,,,
Q1775026,Asher,male,Serah,Jacob,,,,,,
Q1771963,Naphtali,male,,Jacob,,,,,,
Q851749,Gad,male,,Jacob,,,,,,
Q550869,Dan,male,,Jacob,,,,,,
Q2899130,Eliphaz,male,Amalek,Esau,,,,,,
Q1642480,Islamic view of Isaac,male,,Islamic views on Abraham,,,,,,
Q128847,Leah,female,"Reuben, Simeon, Levi, Judah, Issachar, Zebulun, Dinah",Laban,,,,,,
Q207389,Rachel,female,"Joseph, Benjamin",Laban,,,,,,
Q2915121,Gershon,male,Shimei,Levi,,,,,,
Q2914557,Kohath,male,Amram,Levi,,,,,,
Q2670550,Merari,male,,Levi,,,,,,
Q594805,Jochebed,female,"Moses, Aaron, Miriam",,,,,,,
Q1814684,Perez,male,Hezron,Judah,,,,,,
Q1056931,Manasseh,male,,Joseph,,,,,,
Q203251,Ephraim,male,,Joseph,,,,,,
Q2899037,Serah,female,,Asher,,,,,,
Q221826,Zilpah,female,"Gad, Asher",,,,,,,
Q794991,Bilhah,female,"Dan, Naphtali",,,,,,,
Q372091,Amalek,male,,Eliphaz,,,,,,
Q1768161,Islamic views on Abraham,male,"Ismail in Islam, Islamic view of Isaac",,,,,,,
Q3482128,Shimei,male,,Gershon,,,,,,
Q477527,Amram,male,"Moses, Aaron, Miriam",Kohath,,,,,,
Q9077,Moses,male,Gershom,Amram,,,,,,
Q51676,Aaron,male,"Eleazar, Ithamar, Nadab and Abihu",Amram,,,,,,
Q1938388,Miriam,female,,Amram,,,,,,
Q4177234,Hezron,male,Ram,Perez,,,,,,
Q1030008,Tamar,female,Perez,,,,,,,
Q723681,Asenath,female,"Manasseh, Ephraim",,,,,,,
Q470988,Ismail in Islam,male,,Islamic views on Abraham,,,,,,
Q1514983,Gershom,male,Shebuel,Moses,,,,,,
Q159443,Eleazar,male,Phinehas,Aaron,,,,,,
Q1675214,Ithamar,male,,Aaron,,,,,,
Q321166,Nadab and Abihu,male,,,,,,,,
Q1824842,Ram,male,Amminadab,Hezron,,,,,,
Q1711668,Hagar in Islam,female,Ismail in Islam,,,,,,,
Q6394968,Shebuel,male,,Gershom,,,,,,
Q205523,Zipporah,female,Gershom,Jethro,,,,,,
Q128063,Phinehas,male,,Eleazar,,,,,,
Q2038223,Amminadab,male,Nahshon,Ram,,,,,,
Q62788,Jethro,male,Zipporah,,,,,,,
Q1784980,Nahshon,male,Salmon,Amminadab,,,,,,
Q1771358,Salmon,male,Boaz,Nahshon,,,,,,
Q212253,Boaz,male,Obed,Salmon,,,,,,
Q1135791,Obed,male,Jesse,Boaz,,,,,,
Q1135632,Rahab,female,Boaz,,,,,,,
Q45090,Jesse,male,David,Obed,,,,,,
Q1774982,Ruth,female,Obed,,,,,,,
Q41370,David,male,Solomon,Jesse,,,,,,
Q37085,Solomon,male,"Rehoboam, Menelik I, Basemath",David,,,,,,
Q211663,Rehoboam,male,Abijah of Judah,Solomon,,,,,,
Q365687,Menelik I,male,,Solomon,,,,,,
Q272277,Bathsheba,female,Solomon,Eliam,,,,,,
Q273517,Abijah of Judah,male,Asa of Judah,Rehoboam,,,,,,
Q16322478,Eliam,male,Bathsheba,,,,,,,
Q313415,Asa of Judah,male,Jehoshaphat,Abijah of Judah,,,,,,
Q11765187,,female,Abijah of Judah,,,,,,,
Q126689,Jehoshaphat,male,Jehoram of Judah,Asa of Judah,,,,,,
Q313215,Jehoram of Judah,male,Ahaziah of Judah,Jehoshaphat,,,,,,
Q313214,Ahaziah of Judah,male,Jehoash of Judah,Jehoram of Judah,,,,,,
Q313229,Jehoash of Judah,male,Amaziah of Judah,Ahaziah of Judah,,,,,,
Q463934,Athaliah,female,Ahaziah of Judah,Ahab,,,,,,
Q313237,Amaziah of Judah,male,Uzziah,Jehoash of Judah,,,,,,
Q235901,Ahab,male,Athaliah,Omri,,,,,,
Q721295,Jezebel,female,Athaliah,,,,,,,
Q313216,Uzziah,male,Jotham of Judah,Amaziah of Judah,,,,,,
Q313221,Omri,male,Ahab,,,,,,,
Q109920,Jotham of Judah,male,Ahaz,Uzziah,,,,,,
Q30914,Ahaz,male,Hezekiah,Jotham of Judah,,,,,,
Q244912,Hezekiah,male,Manasseh of Judah,Ahaz,,,,,,
Q156328,Manasseh of Judah,male,Amon of Judah,Hezekiah,,,,,,
Q313423,Amon of Judah,male,Josiah,Manasseh of Judah,,,,,,
Q313228,Josiah,male,"Jehoiakim, Zedekiah, Jehoahaz of Judah",Amon of Judah,,,,,,
Q319034,Jehoiakim,male,Jeconiah,Josiah,,,,,,
Q184273,Zedekiah,male,,Josiah,,,,,,
Q336832,Jehoahaz of Judah,male,,Josiah,,,,,,
Q319049,Jeconiah,male,Shealtiel,Jehoiakim,,,,,,
Q2256348,Shealtiel,,Zerubbabel,Jeconiah,,,,,,
Q320139,Zerubbabel,male,Abihud,Shealtiel,,,,,,
Q321170,Abihud,,Eliakim,Zerubbabel,,,,,,
Q16937033,Eliakim,male,Azor,Abihud,,,,,,
Q18699264,Azor,male,Zadok,Eliakim,,,,,,
Q18699268,Zadok,male,Achim,Azor,,,,,,
Q18699270,Achim,male,Eliud,Zadok,,,,,,
Q18699272,Eliud,male,Eleazar,Achim,,,,,,
Q18699300,Eleazar,male,Matthan,Eliud,,,,,,
Q18699310,Matthan,male,Jacob,Eleazar,,,,,,
Q18699312,Jacob,male,Saint Joseph,Matthan,,,,,,
Q128267,Saint Joseph,male,Jesus Christ,"Heli, Jacob",,,,,,
Q302,Jesus Christ,male,,"Saint Joseph, God the Father",,,,,,
Q2474891,Heli,male,Saint Joseph,,,,,,,
Q186350,God the Father,male,Jesus Christ,,,,,,,
Q345,Mary,female,Jesus Christ,Joachim,,,,,,
Q314700,Joachim,male,Mary,,,,,,,
Q164294,Saint Anna,female,Mary,,,,,,,
Q831622,Emerentia,female,Saint Anna,,,,,,,
